Study,Plot,Exp,Block,Richness,R_study,year,CV.o,CV.e,CV.b,CVS.o,CVS.e,phi.o,phi.e,NIIE,NIDE,NBE,NIDE.SpVar,NIDE.Syn,NIIE.Syn,NIIE.SpVar,AE.SpVar,SE.SpVar,AE.Syn,SE.Syn,NBE.F,SE,CE
Agro,Belgium.5,Agro_Other,Belgium ,4,4 Agro_Other,3,0.191349018,0.156060992,0.232219956,0.636543305,0.223493398,0.300606441,0.698280102,-0.397438102,0.20385217,-0.193585932,1.046670579,-0.84281841,-0.359134965,-0.038303137,1.851233747,-0.003081131,-1.036770622,0.222096996,1.65373529,0.164246713,0.489488577
Agro,France.5,Agro_MM,France ,4,4 Agro_MM,3,0.102211553,0.105824257,0.168251569,0.104090229,0.106646751,0.98195146,0.992287683,-0.46368053,-0.034735054,-0.498415584,-0.024263863,-0.010471191,-0.00774221,-0.45593832,-0.134143182,0.11017132,-0.003841424,-0.016883189,2.050208336,-0.747134639,1.797342974
Agro,Germany_a.5,Agro_ME,Germany_a ,4,4 Agro_ME,3,0.240667816,0.281893544,0.351643102,0.346765173,0.344705278,0.694036872,0.817781338,-0.221087251,-0.158111871,-0.379199122,0.005958028,-0.164069899,-0.201160291,-0.01992696,0.144236183,-0.138260371,-0.508359763,0.228622085,1.435582203,0.142593675,0.292988528
Agro,Iceland_a.5,Agro_NE,Iceland_a ,4,4 Agro_NE,3,0.326127595,0.412586442,0.394557865,0.396015955,0.416921118,0.823521352,0.989603129,0.044679933,-0.235157041,-0.190477108,-0.051442536,-0.183714505,-0.010451296,0.055131229,0.198317386,-0.248459155,-0.29203125,-0.015456263,2.380020161,-0.15475171,1.534771871
Agro,Ireland_a.5,Agro_ME,Ireland_a ,4,4 Agro_ME,3,0.124693029,0.331515638,0.958123465,0.372113533,0.412130441,0.335094046,0.80439493,-1.061301667,-0.977820028,-2.039121695,-0.1021409,-0.875679128,-0.217664923,-0.843636743,0.233983846,-0.331081522,-0.17954528,-0.646916646,2.120117446,0.394760627,0.725356819
Agro,Italy.5,Agro_DM,Italy ,4,4 Agro_DM,3,0.359092101,0.259558689,0.632993522,0.804939365,0.636263692,0.446110747,0.40794201,-0.891477348,0.324596065,-0.566881283,0.235153865,0.0894422,-0.896630247,0.005152899,0.276403661,-0.011300253,-0.097665739,0.293548231,2.060669482,-0.322559416,1.383228898
Agro,Lithuania_a.5,Agro_ME,Lithuania_a ,4,4 Agro_ME,3,0.599115176,0.51224693,0.615591886,0.73544619,0.610815417,0.814628159,0.838628031,-0.183777426,0.156647066,-0.027130361,0.185682564,-0.029035498,-0.175988018,-0.007789408,0.185841301,0.018198693,-0.03385054,-0.022566507,1.258427422,0.109630504,0.148796918
Agro,Lithuania_b.5,Agro_ME,Lithuania_b ,4,4 Agro_ME,3,0.307951503,0.836290634,1.155489442,0.759119746,0.871239637,0.405669204,0.959885889,-0.323303092,-0.999033889,-1.32233698,-0.137757535,-0.861276354,-0.040940867,-0.282362225,0.049541239,-0.178231311,-0.823845036,0.002454663,1.928239304,0.445277388,0.482961915
Agro,Lithuania_c.5,Agro_ME,Lithuania_c ,4,4 Agro_ME,3,0.397308182,0.783899253,1.026232599,0.897443348,0.802940868,0.442711157,0.97628516,-0.269369196,-0.679568251,-0.948937447,0.111268924,-0.790837175,-0.024000563,-0.245368633,0.433784881,-0.31608944,-0.788675882,-0.005693606,1.833682906,0.53027249,0.303410415
Agro,Netherlands.5,Agro_ME,Netherlands ,4,4 Agro_ME,3,0.234104091,0.24156011,0.252263462,0.446079493,0.257296848,0.524803526,0.938838201,-0.043355683,-0.031352496,-0.074708179,0.550266703,-0.581619199,-0.063112124,0.019756441,0.696092589,0.037622755,-0.720597837,0.033070467,1.45182813,0.050442695,0.401385436
